,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
52,0.107,https://api.spotify.com/v1/audio-analysis/7lrP7A0hqszb0CjsiWQ9Vv,0.753,205133,0.753,7lrP7A0hqszb0CjsiWQ9Vv,3.84e-05,9,0.194,-6.305,1,0.0362,109.982,4,https://api.spotify.com/v1/tracks/7lrP7A0hqszb0CjsiWQ9Vv,audio_features,spotify:track:7lrP7A0hqszb0CjsiWQ9Vv,0.689
53,0.277,https://api.spotify.com/v1/audio-analysis/4zEwll8ScOot2wRB1PLrN8,0.385,221733,0.407,4zEwll8ScOot2wRB1PLrN8,0.0,6,0.163,-14.263,0,0.0416,132.408,4,https://api.spotify.com/v1/tracks/4zEwll8ScOot2wRB1PLrN8,audio_features,spotify:track:4zEwll8ScOot2wRB1PLrN8,0.407
54,0.246,https://api.spotify.com/v1/audio-analysis/2SWBfqj1FrS8t8z56G55rP,0.621,193840,0.708,2SWBfqj1FrS8t8z56G55rP,2e-06,6,0.143,-9.057,1,0.0259,110.533,3,https://api.spotify.com/v1/tracks/2SWBfqj1FrS8t8z56G55rP,audio_features,spotify:track:2SWBfqj1FrS8t8z56G55rP,0.624
55,0.103,https://api.spotify.com/v1/audio-analysis/0Ta3jOf8m9yCSWMVwd8Qlf,0.699,228653,0.837,0Ta3jOf8m9yCSWMVwd8Qlf,0.0,2,0.231,-5.173,1,0.0428,95.493,4,https://api.spotify.com/v1/tracks/0Ta3jOf8m9yCSWMVwd8Qlf,audio_features,spotify:track:0Ta3jOf8m9yCSWMVwd8Qlf,0.348
56,0.00388,https://api.spotify.com/v1/audio-analysis/0Vlylx4chMCF5WCdSl6bf4,0.777,298040,0.624,0Vlylx4chMCF5WCdSl6bf4,0.00377,7,0.152,-5.018,1,0.0388,98.378,4,https://api.spotify.com/v1/tracks/0Vlylx4chMCF5WCdSl6bf4,audio_features,spotify:track:0Vlylx4chMCF5WCdSl6bf4,0.64
57,0.0993,https://api.spotify.com/v1/audio-analysis/4Wcb05INcFfJ9bDeD4rtW7,0.91,90627,0.662,4Wcb05INcFfJ9bDeD4rtW7,0.0,6,0.163,-8.777,0,0.114,94.445,4,https://api.spotify.com/v1/tracks/4Wcb05INcFfJ9bDeD4rtW7,audio_features,spotify:track:4Wcb05INcFfJ9bDeD4rtW7,0.887
58,0.00746,https://api.spotify.com/v1/audio-analysis/4dPnNj2aEDgLQYUv8ilYnt,0.61,148613,0.808,4dPnNj2aEDgLQYUv8ilYnt,0.00111,7,0.109,-5.392,1,0.0267,115.113,4,https://api.spotify.com/v1/tracks/4dPnNj2aEDgLQYUv8ilYnt,audio_features,spotify:track:4dPnNj2aEDgLQYUv8ilYnt,0.565
59,9.87e-05,https://api.spotify.com/v1/audio-analysis/1L82mjibDdF0YAv9FWp00s,0.521,246209,0.986,1L82mjibDdF0YAv9FWp00s,0.0,1,0.191,-4.164,0,0.145,75.003,4,https://api.spotify.com/v1/tracks/1L82mjibDdF0YAv9FWp00s,audio_features,spotify:track:1L82mjibDdF0YAv9FWp00s,0.167
60,0.804,https://api.spotify.com/v1/audio-analysis/13HVjjWUZFaWilh2QUJKsP,0.568,260533,0.293,13HVjjWUZFaWilh2QUJKsP,1.26e-05,1,0.107,-10.253,1,0.0313,147.175,4,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,audio_features,spotify:track:13HVjjWUZFaWilh2QUJKsP,0.247
61,0.0498,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.617,247160,0.635,6RUKPb4LETWmmr3iAEQktW,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.446
62,0.00203,https://api.spotify.com/v1/audio-analysis/2twKCMni5Nct5KTRlf0YG3,0.611,173987,0.983,2twKCMni5Nct5KTRlf0YG3,6.79e-06,7,0.281,-4.271,1,0.0343,114.91,4,https://api.spotify.com/v1/tracks/2twKCMni5Nct5KTRlf0YG3,audio_features,spotify:track:2twKCMni5Nct5KTRlf0YG3,0.805
63,0.828,https://api.spotify.com/v1/audio-analysis/4t03qcATBoSFWGDDCo29v3,0.656,234213,0.324,4t03qcATBoSFWGDDCo29v3,0.0,11,0.114,-9.756,0,0.0413,144.823,3,https://api.spotify.com/v1/tracks/4t03qcATBoSFWGDDCo29v3,audio_features,spotify:track:4t03qcATBoSFWGDDCo29v3,0.506
64,0.242,https://api.spotify.com/v1/audio-analysis/2ad9SfzUkSrn7Ty3Ii01nO,0.513,128920,0.809,2ad9SfzUkSrn7Ty3Ii01nO,0.0,0,0.0427,-5.278,1,0.0638,144.427,4,https://api.spotify.com/v1/tracks/2ad9SfzUkSrn7Ty3Ii01nO,audio_features,spotify:track:2ad9SfzUkSrn7Ty3Ii01nO,0.915
65,0.0236,https://api.spotify.com/v1/audio-analysis/52LjL3x9tNh6C4eI6SMceX,0.47,145120,0.564,52LjL3x9tNh6C4eI6SMceX,3.89e-06,1,0.103,-9.241,0,0.216,122.111,4,https://api.spotify.com/v1/tracks/52LjL3x9tNh6C4eI6SMceX,audio_features,spotify:track:52LjL3x9tNh6C4eI6SMceX,0.408
66,0.28,https://api.spotify.com/v1/audio-analysis/6UOUc0T9udUNK7dfAN3IAE,0.805,298067,0.823,6UOUc0T9udUNK7dfAN3IAE,0.0,0,0.699,-3.37,1,0.257,100.031,4,https://api.spotify.com/v1/tracks/6UOUc0T9udUNK7dfAN3IAE,audio_features,spotify:track:6UOUc0T9udUNK7dfAN3IAE,0.871
67,0.302,https://api.spotify.com/v1/audio-analysis/5rXSXFrWWyjGHprQNzWGic,0.524,134799,0.677,5rXSXFrWWyjGHprQNzWGic,0.0384,11,0.743,-8.822,1,0.0375,128.186,4,https://api.spotify.com/v1/tracks/5rXSXFrWWyjGHprQNzWGic,audio_features,spotify:track:5rXSXFrWWyjGHprQNzWGic,0.502
68,0.0015,https://api.spotify.com/v1/audio-analysis/0U5HdkbYbpAs3BqzgeHyrR,0.376,677333,0.652,0U5HdkbYbpAs3BqzgeHyrR,0.13,6,0.153,-8.491,1,0.0319,147.743,4,https://api.spotify.com/v1/tracks/0U5HdkbYbpAs3BqzgeHyrR,audio_features,spotify:track:0U5HdkbYbpAs3BqzgeHyrR,0.153
69,0.118,https://api.spotify.com/v1/audio-analysis/0odHj0qIf86vHBsXB30IkZ,0.628,249288,0.629,0odHj0qIf86vHBsXB30IkZ,0.0,6,0.102,-4.829,0,0.0485,157.99,4,https://api.spotify.com/v1/tracks/0odHj0qIf86vHBsXB30IkZ,audio_features,spotify:track:0odHj0qIf86vHBsXB30IkZ,0.3
70,0.00105,https://api.spotify.com/v1/audio-analysis/0ZMwMdO0syC05PUphm3jCE,0.658,200027,0.844,0ZMwMdO0syC05PUphm3jCE,0.0224,9,0.153,-7.897,0,0.0671,155.537,4,https://api.spotify.com/v1/tracks/0ZMwMdO0syC05PUphm3jCE,audio_features,spotify:track:0ZMwMdO0syC05PUphm3jCE,0.849
71,0.473,https://api.spotify.com/v1/audio-analysis/6otHtIfiwZI0ekGkLKIT6o,0.562,284213,0.314,6otHtIfiwZI0ekGkLKIT6o,0.000362,6,0.155,-13.613,1,0.0328,124.703,4,https://api.spotify.com/v1/tracks/6otHtIfiwZI0ekGkLKIT6o,audio_features,spotify:track:6otHtIfiwZI0ekGkLKIT6o,0.122
72,0.0612,https://api.spotify.com/v1/audio-analysis/292hQrFkBjVmbHRqGVqBta,0.514,226813,0.798,292hQrFkBjVmbHRqGVqBta,0.0,2,0.104,-3.669,1,0.0494,145.995,4,https://api.spotify.com/v1/tracks/292hQrFkBjVmbHRqGVqBta,audio_features,spotify:track:292hQrFkBjVmbHRqGVqBta,0.677
73,0.354,https://api.spotify.com/v1/audio-analysis/5MrckUoFffpNnzw0NTglQA,0.567,262933,0.55,5MrckUoFffpNnzw0NTglQA,0.0,11,0.102,-6.364,1,0.0256,129.3,4,https://api.spotify.com/v1/tracks/5MrckUoFffpNnzw0NTglQA,audio_features,spotify:track:5MrckUoFffpNnzw0NTglQA,0.334
