,artist,song,artist_followers,release_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
7043,Nitty Gritty Dirt Band,Soldier Of Love,776008,2010-02-05,0.0117,0.775,356653,0.572,0.0291,0,0.0847,-8.427,0,0.0632,90.023,4,0.64,54
7044,Steely Dan,Everything You Did,348119,1976-01-01,0.245,0.7,235800,0.479,0.00117,4,0.109,-9.532,0,0.0315,112.845,4,0.701,33
7045,P!nk,Is This Thing On?,16381,1997-10-01,0.000755,0.421,217573,0.891,0.0168,7,0.195,-5.886,1,0.0574,91.193,4,0.498,34
7046,O-Zone,Fiesta De La Noche,67288,2013-08-20,0.0455,0.732,223000,0.877,0.0,9,0.249,-4.236,0,0.166,132.082,4,0.944,36
7047,Nina Simone,O-O-H Child,11640,2001-11-06,0.00154,0.488,197160,0.754,2.42e-05,5,0.678,-7.95,0,0.0381,88.369,4,0.664,64
7048,Ian Hunter,I Am What I Hated When I Was Young,11659,2015-04-15,0.0364,0.537,185200,0.882,0.0,6,0.113,-5.07,1,0.032,92.43,4,0.902,2
7049,Europe,Let The Children Play,585633,1977,0.0808,0.563,157600,0.929,0.00173,7,0.364,-7.314,1,0.044,144.446,4,0.925,35
7050,Squeeze,It's So Dirty,282731,2017-10-13,0.0497,0.636,178654,0.691,0.0,8,0.291,-7.49,1,0.0364,84.02,4,0.26,54
7051,Deep Purple,Bird Has Flown,4846169,1965-12-03,0.183,0.425,124693,0.369,0.00126,4,0.112,-11.876,1,0.0379,176.625,3,0.65,59
7052,Avril Lavigne,Push,652343,1996-10-01,0.0067,0.42,238667,0.672,0.0,6,0.108,-7.902,1,0.027,168.019,4,0.476,68
7053,Reba Mcentire,Once You've Learned To Be Lonely,381577,2003-01-01,0.631,0.601,267267,0.348,0.0,5,0.118,-9.422,1,0.029,112.83,4,0.235,14
7054,Out Of Eden,Window,2812056,2017-02-03,0.147,0.745,213693,0.714,0.0,1,0.132,-6.729,1,0.0768,136.972,4,0.554,75
7055,Roxette,Chances,173295,1997,0.0253,0.399,214853,0.821,0.0,10,0.114,-5.614,1,0.0291,163.937,4,0.281,52
7056,Death,Painkiller,1635793,2015-03-27,0.00021,0.376,179160,0.95,0.0,9,0.0377,-4.067,1,0.0641,178.018,4,0.438,65
7057,John Waite,Nyc Girl,1172273,2016-11-30,0.696,0.694,204255,0.508,0.0,0,0.0993,-6.425,1,0.0465,103.914,4,0.541,51
7058,Glee,A House Is Not A Home,395831,1981,0.667,0.377,427693,0.236,0.000174,5,0.247,-15.565,1,0.0317,105.64,4,0.0771,46
7059,Hooverphonic,Wake Up,2623542,2016-04-22,0.172,0.647,224000,0.673,0.0,5,0.223,-5.992,1,0.176,179.971,4,0.527,65
7060,Carpenters,Because We Are In Love,318747,1981,0.817,0.136,301840,0.243,5.3e-06,10,0.317,-14.623,1,0.0392,72.222,3,0.144,18
7061,John Prine,I Love You So Much It Hurts,196153,2010-01-01,0.908,0.355,133120,0.175,7.34e-05,7,0.101,-14.048,1,0.0382,78.181,3,0.196,28
7062,Michael W. Smith,I Know,4530573,2013-09-09,0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,1,0.0323,85.03,4,0.405,78
7063,Tina Turner,Under My Thumb,3165452,1966-04-15,0.306,0.735,221533,0.491,0.115,6,0.136,-13.405,0,0.0491,126.951,4,0.773,52
7064,Rod Stewart,Manhattan,2436121,2008-09-23,0.0154,0.497,204227,0.802,0.000219,9,0.0775,-5.807,1,0.0404,112.287,4,0.402,58
7065,Roxette,Jefferson,334412,1967,0.486,0.551,150640,0.293,0.000273,2,0.0864,-12.503,1,0.0272,106.798,4,0.322,70
7066,NOFX,Philthy Phil Philanthropist,353782,1996-01-30,0.000127,0.549,190200,0.856,0.000592,7,0.33,-7.237,1,0.0539,110.332,4,0.631,43
7067,Oingo Boingo,Take Your Medicine,28666,2007,0.349,0.609,281907,0.699,2.12e-06,0,0.56,-8.201,1,0.0353,121.992,4,0.642,25
7068,Coldplay,Up In Flames,114262,2015-01-20,0.0316,0.494,226427,0.713,0.374,9,0.0602,-7.487,0,0.0776,147.959,3,0.257,61
7069,Townes Van Zandt,Dollar Bill Blues,83763,1999,0.129,0.544,181255,0.515,0.00659,11,0.111,-12.643,0,0.0292,112.898,4,0.435,44
7070,Point Of Grace,You Are The Answer,200129,2015-01-01,0.000139,0.562,203920,0.785,0.0146,8,0.0726,-4.236,1,0.0252,105.901,4,0.499,35
7071,Kate Bush,Fast Train,20464,1982,0.151,0.77,176973,0.556,1.74e-05,5,0.065,-10.898,0,0.0426,123.227,4,0.882,40
7072,Ellie Goulding,Beating Heart,4021942,2014-01-01,0.177,0.558,212125,0.757,4.24e-06,5,0.111,-6.013,1,0.0704,127.905,4,0.288,49
7073,George Michael,Nikita,1177649,2017-11-10,0.284,0.63,344827,0.755,0.000107,7,0.0571,-5.807,1,0.0266,86.702,4,0.733,31
7074,Vince Gill,All Prayed Up,36822,2010-04-02,0.00178,0.54,231027,0.792,0.0,6,0.175,-8.682,0,0.0897,173.413,4,0.742,25
7075,Tom Jones,Late In The Evening,521333,2007,0.21,0.714,242520,0.885,0.0203,5,0.103,-8.805,1,0.0414,118.657,4,0.952,53
7076,Tom T. Hall,Song Of The One Legged Chicken,29637,1995-01-01,0.905,0.507,116733,0.286,3.67e-06,0,0.285,-15.199,1,0.0315,149.576,3,0.87,8
7077,Nazareth,Friends,14507908,2017-08-17,0.00398,0.744,189467,0.752,0.0,8,0.307,-5.316,1,0.0368,104.99,4,0.65,84
7078,Lil Wayne,Brand New,136070,2015-08-28,0.00338,0.553,243933,0.936,1.35e-06,9,0.102,-5.015,1,0.11,144.884,4,0.412,61
7079,Counting Crows,On A Tuesday In Amsterdam Long Ago,462422,2008,0.949,0.679,297427,0.188,0.000783,9,0.0933,-11.666,0,0.0435,120.165,3,0.207,18
7080,Scorpions,Borderline,67211,2015-03-31,0.00685,0.406,256500,0.949,5.2e-06,8,0.0805,-4.488,0,0.114,160.007,4,0.457,61
7081,Alison Krauss,Jubilee,51771,2015-05-05,0.883,0.656,188947,0.368,0.00287,7,0.109,-9.978,1,0.028,116.197,4,0.522,54
7082,Jimi Hendrix,Black Gold,164951,2017-07-28,0.00129,0.384,273067,0.69,0.0104,9,0.174,-6.613,1,0.0395,179.96,3,0.496,59
7083,Nazareth,Guilty,11513888,1999-02-23,0.0527,0.702,199333,0.783,0.0,7,0.346,-5.158,1,0.311,90.652,4,0.484,60
7084,Bob Marley,"Get Up, Stand Up",128318,2004-01-01,0.258,0.776,198600,0.571,0.0,10,0.0494,-7.108,0,0.348,78.365,4,0.816,46
7085,The Beatles,I Me Mine,4846172,1970-05-08,0.179,0.291,145587,0.638,0.0,9,0.101,-7.854,0,0.0554,185.235,3,0.525,48
7086,Air Supply,Sanctuary,556,2016-08-07,0.987,0.29,208187,0.112,0.906,7,0.187,-17.894,1,0.0562,167.39,3,0.18,64
7087,Alabama,O Little Town Of Bethlehem,4312,2008-07-15,0.965,0.649,167680,0.207,0.903,0,0.0981,-16.478,0,0.04,127.609,4,0.62,46
7088,Korn,Are You Ready To Live?,1622567,2010-07-09,0.038,0.463,238653,0.969,2.33e-05,11,0.075,-3.58,0,0.151,119.459,4,0.247,30
7089,Fiona Apple,Pale September,327386,1996,0.902,0.264,350933,0.191,0.0398,1,0.103,-16.879,1,0.03,170.208,3,0.16,36
7090,The Monkees,Mommy And Daddy,321,2005-09-27,2.73e-06,0.455,187800,0.889,0.333,9,0.0937,-4.76,1,0.114,80.063,4,0.28,24
7091,Neil Sedaka,Another Sleepless Night,65419,2005-01-11,0.686,0.435,130693,0.656,0.0,7,0.12,-5.858,1,0.0329,118.776,3,0.77,26
7092,Nick Cave,Love Letter,183539,2017-05-14,0.000481,0.66,143969,0.603,0.0,9,0.128,-7.366,0,0.0661,119.412,4,0.226,78
7093,ZZ Top,Gimme All Your Lovin',917955,1983-03-23,0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,1,0.0298,120.059,4,0.63,65
7094,Bruce Springsteen,Bad Moon Rising,1353456,1969-08-03,0.0543,0.641,141600,0.774,1.05e-05,2,0.0473,-5.916,1,0.0278,89.787,4,0.942,68
7095,Beach Boys,"Cherry, Cherry Coupe",890827,1963-10-07,0.583,0.672,110307,0.837,0.0,2,0.0866,-7.481,1,0.0294,133.963,4,0.965,20
7096,Stevie Wonder,Hey Harmonica Man,1754971,2006-01-01,0.473,0.609,151467,0.92,5.05e-05,7,0.108,-2.705,1,0.129,92.467,4,0.907,6
7097,Quincy Jones,One Hundred Ways,62476,1999-04-12,0.489,0.696,277213,0.5,7.54e-06,8,0.268,-8.748,1,0.0394,90.0,4,0.423,45
7098,Phil Collins,No Son Of Mine,594353,1991-11-11,0.133,0.658,399107,0.595,0.000358,4,0.0978,-8.704,0,0.0251,103.975,4,0.256,38
